1,2006,8681,2823,324,11828
2,2006,8144,3561,226,11931
3,2006,8920,4146,248,13314
4,2006,8462,4195,252,12909
5,2006,8899,4413,263,13575
6,2006,8606,4323,274,13203
7,2006,8787,5300,346,14433
8,2006,8661,4330,264,13255
9,2006,8829,4354,253,13436
10,2006,8767,5182,341,14290
11,2006,8895,4474,262,13631
12,2006,8774,4570,270,13614
1,2007,8723,4924,313,13960
2,2007,7566,3193,210,10969
3,2007,9009,4158,242,13409
4,2007,10206,3983,226,14415
5,2007,10608,4331,293,15232
6,2007,10310,4510,284,15104
7,2007,10761,5331,362,16454
8,2007,10653,4491,275,15419
9,2007,10446,4346,241,15033
10,2007,9887,5578,401,15866
11,2007,10031,4110,250,14391
12,2007,9895,4871,318,15084
1,2008,9868,4829,330,15027
2,2008,9673,4443,262,14378
3,2008,10469,5287,315,16071
4,2008,10562,4873,276,15711
5,2008,10582,5472,309,16363
6,2008,10824,5812,374,17010
7,2008,11206,6257,425,17887
8,2008,11129,5641,339,17108
9,2008,10481,5123,275,15879
10,2008,10379,6522,436,17337
11,2008,10583,5113,277,15973
12,2008,9695,5316,321,15332
1,2009,10686,3560,248,14494
2,2009,9984,3609,276,13869
3,2009,11185,5641,306,17132
4,2009,10908,5550,317,16775
5,2009,11448,6019,357,17824
6,2009,11384,6362,397,18143
7,2009,11348,6611,426,18385
8,2009,10905,6299,323,17527
9,2009,10243,6597,441,17281
10,2009,11087,6351,313,17281
11,2009,10592,5842,344,16778
12,2009,10738,6472,371,17581
1,2010,10541,6498,384,17424
2,2010,9641,5239,327,15207
3,2010,10759,5858,375,16992
4,2010,10394,5762,676,16832
5,2010,10476,6089,423,16988
6,2010,10312,6496,451,17259
7,2010,10466,6715,499,17680
8,2010,10438,5702,337,16477
9,2010,9685,7028,588,17301
10,2010,10796,5746,366,16908
11,2010,10106,5982,381,16469
12,2010,10694,6605,434,17733
1,2011,10354,6092,445,16891
2,2011,9270,5249,371,14890
3,2011,10733,5851,394,16978
4,2011,10188,5843,410,16441
5,2011,10513,6505,504,17522
6,2011,10147,6659,459,17265
7,2011,10749,6883,500,18132
8,2011,9678,4814,354,14846
9,2011,9692,6661,568,16921
10,2011,10152,5910,399,16461
11,2011,9852,5913,414,16179
12,2011,9777,6556,478,16811
1,2012,9779,6022,482,16283
2,2012,9840,5286,364,15490
3,2012,11285,5416,389,17090
4,2012,11271,5105,370,16746
5,2012,11872,5529,370,17771
6,2012,12034,5653,375,18062
7,2012,12391,5565,353,18309
8,2012,11471,5204,381,17056
9,2012,11556,4507,305,16368
10,2012,11501,5327,299,17127
11,2012,10650,4786,337,15773
12,2012,10438,5307,359,16104
